cell_id,ANXA4,C8orf4,CALB1,CAV1,COL17A1,DCDC2,DMBT1,ECM1,EMP1,EPCAM,FABP5,FAM3B,GATA6,GJB6,ID1,IGFBP6,INHBA,KCNJ16,KIRREL,KRT14,KRT15,KRT16,KRT17,KRT19,KRT5,KRT6A,LAMC2,LDHB,LEFTY1,LGALS1,LY6D,MT1X,MT2A,NDFIP2,NR0B2,NR5A2,PDLIM3,PDLIM7,PIGR,PTHLH,RHCG,S100A2,S100A4,S100A7,SFRP5,SLC3A1,SLC4A4,SLPI,SPINK1,SPRR1B,SYT8,TFPI2,VCAM1,t,dataset,sample_type
CELL_0902,0.0,2.5982804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1706476,0.0,0.0,0.0,0.0,1.8709869,1.8709869,0.0,0.0,0.0,0.0,0.0,0.0,1.8709869,2.6364937,0.0,0.0,2.5525992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6977003,0.0,0.0,0.0,2.1706476,0.0,0.0,0.0,0.0,1.8709869,0.0,0.0,0.0,0.0,0.0,0.38672113,GSE155698,tumor
CELL_0903,1.3064538,0.0,0.0,0.9614222,0.0,0.0,0.0,0.0,0.0,1.9592872,0.0,0.0,0.6450798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6450798,1.6393648,2.2272105,0.0,0.0,1.5047212,0.0,0.0,2.0397325,0.0,2.1883287,2.2688591,0.6450798,0.0,0.0,0.0,0.6450798,0.0,0.0,0.0,1.5776205,0.9614222,0.0,0.0,0.0,0.0,2.1883287,2.3635023,0.0,0.6450798,0.6450798,0.0,0.43878654,GSE155698,tumor
CELL_0904,0.51234746,0.0,0.0,0.9554051,1.4699835,0.0,0.0,0.78061867,1.3795475,1.8159109,0.51234746,0.0,0.0,0.0,1.7100159,1.571849,0.0,0.0,0.51234746,0.0,0.78061867,1.2585081,0.0,2.2312336,0.0,0.0,1.2585081,0.78061867,0.0,2.1683843,0.0,0.51234746,1.0820167,0.78061867,0.0,0.0,0.0,0.9554051,0.0,0.0,0.0,0.0,0.51234746,0.0,0.0,0.0,0.0,1.507569,0.0,0.0,1.17976,0.0,0.0,0.7864704,GSE155698,tumor
CELL_0905,2.310307,2.7325943,0.0,0.0,2.310307,0.0,0.0,0.0,0.0,2.7325943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3506598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9436123,2.590641,0.0,0.0,0.0,0.0,0.40779492,GSE155698,tumor
CELL_0906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3147693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3147693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3147693,3.514553,0.0,0.0,0.0,0.0,0.39389032,GSE155698,adjacent_normal
CELL_0907,2.405658,0.0,0.0,0.0,0.0,0.69026476,0.0,0.0,0.0,1.5064743,0.0,1.4259629,1.1909094,0.0,0.0,0.0,0.0,0.69026476,0.0,0.0,0.0,0.0,0.0,2.0044043,0.0,0.0,1.0003368,0.0,0.69026476,0.0,0.0,1.0003368,0.69026476,0.69026476,0.0,0.0,1.3246897,0.69026476,2.1408672,0.0,0.0,0.69026476,0.0,0.0,0.0,1.0003368,1.9889697,1.7188627,2.4980247,0.0,1.7895017,2.2022178,2.1953735,0.15678276,GSE155698,tumor
CELL_0908,1.8691432,0.0,0.0,0.0,1.3133893,0.0,0.0,0.0,1.7661815,2.1403198,0.0,0.0,0.0,0.0,0.9959762,1.6096025,0.0,0.0,0.0,0.0,0.0,0.0,1.3133893,2.3086154,0.0,0.0,1.6974283,0.9959762,0.0,1.490638,0.0,0.0,0.0,1.3133893,0.0,0.0,0.0,0.9959762,0.0,0.0,0.0,0.0,1.3133893,0.0,0.0,0.0,0.0,2.0280843,2.0715795,0.9959762,0.0,0.0,0.0,0.46818408,GSE155698,tumor
CELL_0909,1.8521155,0.31265447,0.0,0.42719257,1.0066515,0.0,0.0,0.17390417,0.83068186,1.7189995,1.5838116,1.2586905,1.3943708,0.0,0.96805197,0.09229672,0.0,0.0,0.0,0.0,0.37246677,0.0,0.0,2.282838,0.0,0.0,0.47755033,0.0,0.0,0.24685247,0.0,1.3539606,1.6061479,0.77556425,0.6454649,0.0,0.0,0.42719257,0.52412033,0.0,0.0,0.31265447,0.6454649,0.0,0.8562501,0.37246677,0.17390417,1.8823411,1.6866295,0.0,0.9475675,0.0,0.0,0.39270917,GSE155698,tumor
CELL_0910,3.2767637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9597383,0.0,0.0,0.0,0.0,3.169548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2767637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9597383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39442554,GSE155698,tumor
CELL_0911,1.9254848,0.71362656,0.0,0.0,0.71362656,0.0,0.0,0.0,0.71362656,1.7781785,1.5053995,1.6676086,1.2971994,0.0,1.3598428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3159316,0.0,0.0,0.44989133,0.0,0.0,0.0,0.0,1.4143804,1.5790564,0.89483464,0.44989133,0.0,0.0,0.0,0.0,0.0,0.0,0.71362656,1.0302458,0.0,0.71362656,0.44989133,0.44989133,1.4143804,0.44989133,0.0,1.2240663,0.0,0.0,0.39303073,GSE155698,tumor
