t,KRT17,EMP1,S100A2,KRT16,t_grid,KRT17_pinn,EMP1_pinn,S100A2_pinn,KRT16_pinn
0.16497824,1.8327519,0.0,2.2143233,0.0,0.9798994974874372,1.1291608810424805,1.2770856618881226,1.219982385635376,0.9715951085090637
0.41743574,1.625303,0.9570639,1.4671746,0.49803102,0.9849246231155779,1.1277202367782593,1.2785823345184326,1.2177201509475708,0.972210168838501
0.4661092,1.9946816,0.0,2.4778266,0.0,0.9899497487437187,1.1263115406036377,1.280074119567871,1.2154799699783325,0.9728367328643799
0.46269596,2.9599154,1.996402,1.996402,2.3716173,0.9949748743718593,1.124934434890747,1.2815608978271484,1.2132620811462402,0.973474383354187
0.53520507,1.9297804,0.0,2.2238007,0.0,1.0,1.1235876083374023,1.2830435037612915,1.2110661268234253,0.9741234183311462
0.4840525,2.2662222,0.0,1.7969906,0.7462267,,,,,
0.5699539,3.067419,2.0879397,2.613779,2.8354669,,,,,
0.49757874,2.3933876,2.1278515,3.0867722,0.0,,,,,
0.92542595,0.0,2.4452958,2.685247,0.0,,,,,
0.42819452,2.3852775,0.0,2.595857,0.0,,,,,
0.5030761,2.3938115,0.0,2.502597,2.0652878,,,,,
0.48516008,2.3582773,1.8873378,2.5405128,1.408656,,,,,
0.5074102,2.2810273,1.903781,2.5208824,1.300907,,,,,
0.1297164,1.9799341,0.0,1.7980545,0.0,,,,,
0.14076988,2.0134852,0.0,2.0134852,0.0,,,,,
0.4727284,2.315469,1.5649083,2.5975175,1.3379146,,,,,
0.50512314,2.3799865,1.0610201,2.6208487,1.0610201,,,,,
0.47602206,1.7540262,1.5524092,2.4467304,0.48231414,,,,,
0.45183462,0.0,0.0,0.0,0.0,,,,,
0.18382052,0.0,0.0,2.0634608,0.0,,,,,
0.1712329,1.6779257,0.51018035,1.6209571,0.0,,,,,
0.53792894,2.2768943,0.0,3.0081975,1.8285508,,,,,
0.47270605,2.371651,1.7242134,2.7860086,0.0,,,,,
0.4752869,0.0,0.0,0.0,0.0,,,,,
0.4711459,2.3689547,1.5094805,2.7544544,1.4244792,,,,,
0.52241427,1.5411172,2.0169556,2.0394273,0.90270334,,,,,
0.49870336,2.8790722,1.9815581,2.798309,2.261777,,,,,
0.48491207,0.0,1.8070416,1.8070416,0.0,,,,,
0.54351944,2.103466,1.793234,2.103466,0.0,,,,,
0.4887962,2.4553592,0.97936136,2.9100606,1.5187938,,,,,
0.49279174,0.0,0.0,0.0,0.0,,,,,
0.13418236,0.0,0.0,0.0,0.0,,,,,
0.15465707,0.0,0.0,2.051219,0.0,,,,,
0.49407747,1.9509375,0.0,2.4475281,0.0,,,,,
0.41741902,0.9040283,1.2282054,1.7685238,1.2282054,,,,,
0.51264304,2.353179,1.5056632,2.7288175,1.3148872,,,,,
0.41957054,1.7124382,1.7124382,1.7124382,0.0,,,,,
0.55325925,2.1819005,1.8723933,2.576516,2.3405025,,,,,
